Type,YouTube,Student,Date,Title,Keywords,Summary,MainLevel,Level1,Level2,Level3,Lecturer,Affiliation,SummaryWordCount,2-4 highlights: no longer than 3 minutes each with a clear one-line description of WHY it's a highlight,,,,,Time spent on each video,"Possible B-Roll, Background Music",,,,COMMENTS
Distinguished Lecture,http://www.youtube.com/watch?v=uGASpqTXz4g,West (9),25-11-2010,Designing musical instruments that privilege improvisation,"digital musical instruments, mapping, sensors, algorithmic music","In this wide ranging talk, David Wessel discusses his and his colleagues work in the design of digital musical instruments, interactive music systems, and futuristic sensor systems. From questioning what makes a digital musical instrument appropriate for live improvisation, to techniques for complex interface-to-sound mappings, to e-textiles, to loudspeaker design, and even hearing aids, Wessel's research touches on a variety of subjects and application areas. With a pragmatic focus, Wessel offers his perspective on these subjects, the guidelines he has learned for himself, and his vision of what is next to come.","Instruments, Devices and Systems",Design,,,David Wessel,"University of California, Berkley, USA",92,18:05 - 19:16 (1m11s) Wessel insists on the importance of visible effort in live electronic music performance,"19:51 - 20:51 (1m) Wessel talks about the limitation of triggers, arguing in favour of shaping sound continuously",,,,1hr00,"43:02 - 47:45 (4m43s) musical excerpt (audio isn't great, but might make an okay backdrop?)",,,,
Fulbright Seminar,http://youtu.be/C2XKzCQ_Uj4,Gjerbic (3),13-01-2011,"Music, gesture, and musical grammar","musical gesture, musical grammar, physical gesture","Threading together music, movement, and grammar, Lawrence Zbikowski argues that musical gestures are sonic analogues of dynamic processes. Tracing the motion of a leaf falling through the air with your hand is an example of a physical gesture representing a dynamic process: everyone understands that your hand only represents the leaf, but the gesture perfectly encapsulates the motion. Zibikowski suggests that the pairing of musical and physical gestures represent dynamic processes central to human experience, forming musical grammar. Musical gestures exist in a well-defined context—meter and pitch space—so their measurable properties can lend meaning to corresponding physical gestures.","Cognition, Perception and Movement",Gesture,,,Lawrence Zbikowski,"The University of Chicago, USA",100,Zbikowski discusses the respective functions of langauge and music (19:10-19:51),"Musical gestures are anchored by metered rhythms and networks of pitch relationships, giving these gestures a frame of references (33:49-34:53).",,,,3hr00,,,,,
Distinguished Lecture,http://youtu.be/ii6VtnUVsok,Gjerbic (4),17-02-2011,Building Musical Minds in 18th Century Naples,"schemata, musical patterns, 18th century composition","Beginning with the conservatory tradition of 18th century Naples, Robert Gjerdingen discusses the use of schemata in improvisation and composition. Schemata are stock harmonic patterns, a lexicon of solfegi melodies and partimenti bass patterns that permeated 18th and 19th century music. Learning the schemata allows practitioners to build a phrasacon of musical idioms, and gain an understanding of the collocation (how the material fits together) and appropriate frequency of the different patterns. In this tradition, practitioners learn a corpus of coherent utterances, as to not only grasp the mechanics of the patterns, but learn the style of the musical tradition.",Expanded Musical Practice,Composition,,,Robert Gjerdingen,"Northwestern University, USA",100,"Gjerdingen compares stock pattern composition in the 18th century to ice-skating routines, as listeners expected these patterns to occur over the course of the composition (23:10-24:17).","Gjerdingen frames schemata in terms of musical grammar, idioms, and corpi, and discusses if schemata can be used to teach classical music (45:37-46:53).",,,,3hr00,,,,,
Distinguished Lecture,http://www.youtube.com/watch?v=nOv30rHV7Ds,Richardson (11),17-03-2011,Music is Meant to be Heard: Perception is Central in (my) Computer Music,"psychoacoustics, perception, computer music, sound synthesis","The current capabilities of technology, combined with the present progress in research, provides composers with an expanded sonic realm. Pioneering contributor to computer music, Risset, explores the possibilities of computer sound synthesis in composition. Beyond this topic, he delves into the psychoacoustics of sound: how we interpret what we hear. Risset shares how modern computer sound synthesis has ushered in new and varied possibilities that are increasingly congenial to our senses. As Risset proposes, there seems to be an aspect of magic in music that can be enhanced by using the somewhat extreme features of perception involved in synthesis.","Cognition, Perception and Movement",Perception,,,Jean-Claude Risset,"Laboratoire de Mécanique et d'Acoustique, France",99,3:31-5:03 history of synthesis,13:53-14:09 why research is need in computer music,1:23:59-1:25:06 demonstration of one performance/compositional technique ,1:25:06-1:26:15 closing statements and mention of the magic in music,,13/05/18 1:10 14/05/18 0:20 15/05/18 10,,,,,
Distinguished Lecture,http://www.youtube.com/watch?v=6B4CsSwAyqE,Rong (3),15-04-2011,The Compositional Control of Sound Synthesis: from Traiettoria to OMChroma,"composition, sound perception, cognition, tone, synthesis","Synthesis - it's not just about making sound, but rather a way of thinking and hearing, and being sensitive to time. This is what Marco Stroppa has done a lot of thinking about, and he has spent his research work experimenting with acoustic piano sounds and their resonances - and also the complex process of digitalized composing not with these exact sonorities but unique ones inspired by them. As a composer with much experience and knowledge in piano techniques and instrumentation, he dives into the technical details of creating ""pure"" and ""noisy"" tone, as well as artistic lines and creativity. Compositionally, he gives the possibilities and choices of sound synthesis and cognition a great deal of consideration.",Expanded Musical Practice,Composition,,,Marco Stroppa,"Musikhochschule, Stuttgart, Germany",114,"9:00-9:13  ""Perceptual digression"", or how a listener would perceive sound, is determined by two factors: to be stable, the data must be coherent and sufficient. If there is too much data (audio or otherwise), it is simply just perceived as noise.","21:15-22:20 Some issues that Stroppa has run into are the difficulties of organizing sonoric material so that his music has the intended effect on listeners. Different timbres are in different states of perceptual fusion in the brain, and there is a distinction between identifying and simply recognizing. ","28:40-31:14  Sound is perceived in a 3D environment, but it is not easy to imagine it this way. Every distinct voice in a recording adds a layer that enhances or builds upon the music. There is sound in space, and also space in sound.",,,3hr30,,,,,Highlight 3 has no end time?
Distinguished Lecture,http://www.youtube.com/watch?v=F-QNEviNkKw,Gjerbic (5),21-04-2011,Relations between linguistic and nonlinguistic sound systems: Emprical studies,"timbre, tabla drumming, non-lingusitic systems","Neurolinguist Ani Patel argues that in the North Indian tabla drumming tradition, there exists non-linguistic symbiotic relationship between the drum timbres and bols, syllables used to vocalize a drum stroke. Each stroke is created quasi-linguistically via variation in place and manner of articulation, and each bol represents a stroke. Patel argues that bols are a case of “sound symbolism”: in tabla drumming, musical timbres are both reflective by and reflective of speech timbres. Using empirical data, Patel suggests that for experienced drummers, the areas of the brain know to be activated by speech would also be activated by tabla timbres.","Cognition, Perception and Movement",Perception,,,Ani Patel,"The Neurosciences Institute, USA",100,Tabla drummers use different drum strokes to create distinct timbres (8:47-10:17).,"Patel introduces a study investing if bols reflect the timbre, as well as the timing, of drum strokes (17:58-21:04).",,,,3hr00,,,,,
Distinguished Lecture,http://youtu.be/0ClNpyKVXpM,Richardson (3),09-01-2011,Facial and Bodily Gesture in Musical Rehearsal and Performance,"movement, expression, gesture","Davidson explores the link between biomechanics and musical structure: ""How do biomechanical requirements interface with the model of musical performance?"" Her research grapples with the use of motion in musical expressivity during musical performance as evaluated by musicians and non-musicians. Is there an expressive repertoire of gestures, and if so, how are they used? Her research suggests that musicians develop a personal musical movement repertoire within a socio-cultural context. Beyond discussing this repertoire of expressive movements and how it is put into use, Davidson invites us to consider what social studies can add to this discussion.","Cognition, Perception and Movement",Gesture,,,Jane Davidson,"University of Western Australia, Australia",96,"40:33-41:44 there is a rep of gesture unique to each indiv, gov by socialcultural rules or 40:35-",41:48-42:22 How can we look at sociocultural factors and individual meaning of gestures? ,"58:32-1:21 Gesture in socialcultural contest: communicates authenticity. It can also  demonstrate proximics, such as intimacy.",1:02:07-1:02:45 The evolution of her research focus over time.,,1:25,,,,,
Distinguished Lecture,http://youtu.be/DTXyxdeTAnM,Martins (3),27-10-2011,Between art and science: Studying music as performance,"music performance, musicology, schenkerian analysis, performance style, close listening","How can art and science mutually inform one another? Watch how Dr. Cook answers this question with an approach that combines empirical methodologies and cultural interpretations. Using Schubert’s impromptu Op. 90 nº3 and Chopin’s Mazurka Op. 63, he explains how close listening of recordings ""can open up a dimension to which both music theory and music psychology are insensitive, which is that of historical change"". The lecture includes one of the first schenkerian analysis made by Schenker himself, and new analytical techniques capable of extracting timing and dynamic information. Results show that phrase-arching elements are subjective to historical change, yet data is still insufficient to establish a performance style as a historical entity.",Expanded Musical Practice,Analysis,,,Nicholas Cook,"University of Cambridge, UK",113,"6:53-8:07
The undiscussed historical dimension of schenkerian's performance pedagogy","10:35-11:30 
Cook's analysis of Eugene d'Albert's interpretation of Schubert's impromptu nº 3.",,,,3hr15,,,,,
Distinguished Lecture,http://youtu.be/cNxutfofwCs,Gjerbic (6),19-01-2012,Of pipes and patches: Making music on the augmented organ,"organ, augmented instruments, video agumentation","Church organs are immobile instruments, built specifically for the acoustics of their church. D’Alessandro discusses the challenges of augmenting a church organ with electronics for live-electronic performances. Each instrument is voiced for the room, meaning that each of the pipes is carefully balanced with one another to create the desired sound in the hall. In order to augment the instrument electronically, d’Alessandro captured the sound inside of the pipes. He discusses how he used that signal to alter the sound in the hall through various effects and how he used the signal visually, as projected lights onto the pipes.","Instruments, Devices and Systems",Design,,,Christophe d'Alessandro,"CNRS, France",99,D'Allesandro discusses methods of digital augmentation of the organ (24:19-28:28).,This clip shows a video of J.S. Bach's D minor toccata played on the augmented organ. (51:09-52:10),,,,3hr00,,,,,
Distinguished Lecture,http://youtu.be/gfXM1Q7d6Bk,Martins (4),16-02-2012,Large-scale music audio analysis: E-science or e-musicology?,"MIR, music information retrieval, audio analysis, ground-truth","Music information retrieval (MIR) started in the 60's but endless discussions on how to convert music scores into formats that computers could process nearly extinguished the research area. With the advent of audio formats such as mp3 and hard drives with increased storage capacity, new possibilities emerged. Electrical engineers and computer scientists started working on new ways to analyze music. Dr. Downie is a key figure in the evolution of this interdisciplinary science, involved in several initiatives that were responsible for the advancement of large-scale music audio analysis. Developing tools to identify form, structure, and classification of music, this resource empowers musicologists to approach their work in unprecedented ways.",Music Information Research,Music Information Retrieval,,,J. Stephen Downie,"University of Illinois, USA",109,"52:32-54:08
How do engineers use algorithms to deduce structure in music?","1:06:25-1:08:05
When will computers replace humans in the audio analysis process?",,,,2hr25,,,,,
Distinguished Lecture,http://youtu.be/pDQXYyKP1BY,Richardson (4),12-02-2013,Kinematics of Music Cognition,"movement, dance, personality, gender","Even from infanthood, humans have a predisposition to move in response to music. Toiviainen discusses how the presence of a regular beat promotes activity in the motor areas of the brain and demonstrates a view of brain regional activity during music listening. Other topics presented include embodiments of meter in music induced movement (MIM), musical characteristics and MIM, listener characteristics and MIM, and perception of MIM. His findings suggest the metric hierarchies that exists in music are embedded in MIM. Characteristics of the music, such as pulse clarity and the emotional quality of the music tend to produce corresponding movements. MIM also encodes personality traits, emotion, and gender.  ","Cognition, Perception and Movement",Perception,,,Petri Toiviainen,"University of Jyväskylä, Finland",108,12:27- 13:04Four music induced movement research topics he has pursued. ,44:06-45:10 Conclusions of research presentation on the 4 topics.,,,,1:25,,,,,
Distinguished Lecture,http://youtu.be/06TErgm_iZg,Aspinwall (8),14-11-2013,"Drawing sounds, listening to images: The art of time-frequency analysis","time-frequency analysis, DSP, music technology, mathematics, Fourier transform","In this lecture, Patrick Flandrin highlights how time-frequency analysis lies at the intersection between physics, computer science and mathematics. He presents a plethora of approaches to signal analysis and reconstruction that are based on models that range from microphysical (quantum mechanics) to astrophysical (gravitational waves). Throughout this lecture, Mr. Flandrin compares various functions and explains specific applications for each.","Instruments, Devices and Systems",Analysis,,,Patrick Flandrin,"CNRS & Ecole Normale Supérieure de Lyon, France",59,[16:56 - 18:05] The basic framework for analysing music notation,[48:46 - 51:46] An application of time-frequency analysis used in astrophysics,[1:15:34 - 1:16:34] Concludes the talk and explains in simple terms why these type of analysis are useful in the field,,,4h,,,,,
Student Symposium KEYNOTE,http://youtu.be/GtSCVqIDl-k,Tirumala (3),23-05-2012,On the Psycholophysics of Musical Expressivity,"Expressivity, Psycophysics, autism, Psycophysical expressivity curve, Disklavier, MIDI, Piano performance, Piano expressivity.","Daniel Levitin and his team explore ways to quantify the expressivity of a musical performance. With the help of Yamaha's Disklavier,  Daniel and his team artifically produce less expressive versions of musical excerpts. These are then rated for expressivity in a controlled study. Daniel and his team observe various trends that connect expressive performance to variations in dynamics and timing of the performance. Further investigations show that beyond a point, the variation doesn't continue to translate into an expressive quality. The team also explores the same conditions in autistic children, where the study shows that people with autism are unable to determine expressivity in performances from timing and dynamic variation.","Cognition, Perception and Movement",Psychology,,,Daniel Levitin,"McGill University, Canada",110,"18:16 - 19:58: Illustration of stripping away expressivity from an expressive excerpt, using the Yamaha Disklavier technology. Sonic excerpts allow one to gain a first hand insight into how the test was performed.","25:51 - 27:06 - Interpreting initial results on expressivity. Daniel shines a light on where the difference in expressivity is most percievable, and brings insight to the finding that there needs to be at least 50% expressivity before people can discern a piece to have an expressive quality, on a scale ranging between total mechanical performance, and the original expressive recording.","32:07 - 33:40: Extrapolating and artificially introducing more expressivity into a performance than there initiallly was. Audible excerpts give a sense of what introducing more expressivity would sound like, in order to understand how it influences our understanding of expressive. The goal is to answer the question, would a piece that was artificially enhanced in expressivity be perceived as more expressive?",36:04 - 36:45: Superimposing results of non-autistic listeners to autistic listeners yields interesting results which gives reason to believe that autistic listeners don't respond to the same emotional/expressive cues in music in comparison to the average listener.,,2hr,,,,,Too many keywords
Student Symposium KEYNOTE,http://youtu.be/ZLACjtOpe0Q,Tirumala (4),23-05-2012,Design Choices for Computer Instruments and Computer Compositional Tools,"Design Philosophies, PureData, Max, Max/MSP, Miller Puckette, Live Performance, Ableton, Computer Music, Computer Music Tools, Design environments","Early music technology pioneer, Miller Puckette, extrapolates from his experiences in creating the widely acclaimed  environments Max and PureData as music processing tools. While addressing the longevity of such tools, amidst the evergrowing number of new environments, which are largely similar in their capabilities. Stressing on the futility of developing more of such environments, he compells for a shift away from the composer-centric nature of the existing tools, by harnessing more recent technological advancements. On that subject, Miller highlights the absense of a holistic musical programming language that would incorporate the needs of modern music composers, and incorporates the technological robustness of a language like C.","Instruments, Devices and Systems",Design,,,Miller Puckette,"University of California, San Diego, USA",105,"14:11 - 17:16: The role of Electronic Music Tools described as an evolution in time, from once seemingly obvious to growingly opaque. This leads up to the question of redundancy in the music programming environments that already exist today.","23:40 - 25:20: Miller Puckette talks about Transparency as a design objective in the design of Computer Music tools, and how one might unwittingly confine their tool and end up with a tool that isn't really transparent to the user. He presents this idea in the context of trying to be completely invisible as an element in the chain between the designer/composer and the final realised output at the loudspeaker.",31:35 - 33:37: Miller's expresses his views on computer music tools being  biased in favour of using computers as a stage tool or as a live tool. ,37:50 - 39:40: Miller explores the need to explore possible units which could be coded as primitives in the existing design environments so as to implement higher level algorithms into units that can encapsulate a high dimension of sonic possibilities into being controlled or affected through a low dimension of inputs.,,2hr,,,,,Too many keywords; complex summary explanation
Distinguished Lecture,http://youtu.be/8e6R1NFk2qM,Martins (5),21-09-2012,The relationship between musical notation and performance after 1950: Historical survey and theoretical considerations,"musical notation, John Cage, Mario Bertoncini, electronic music, experimental composition, sign and musical sound,","In the second half of the 20th century, new forms of musical notation emerged in experimental compositions. The relationship between sign and sound was affected by new extended acoustic possibilities. Composers saw an opportunity to have an exact sonic representation of their musical ideas without any written notation. For the first time, music could be inscribed instead of prescribed. Interestingly, music scores continued to be used. Dr. Borio explains this “écriture” paradigm in this two-part lecture on the underlying philosophical reasons in the evolution of musical writing. The second part is dedicated to the contributions of Mario Bertoncini on the advancement of John Cage’s multidimensional use of signs, including a live performance by Bertoncini himself.",Expanded Musical Practice,Composition,,,Gianmario Borio,"University of Pavia, Italy",115,"30:00-32:00
Mario Bertoncini's live performance of one of his experimental compositions for piano solo.","55:51-58:00
Recording from 1967 of the improvisational group Nuova Consonanza.","1:09:13-1:10:28
Borio's description of Bhèri, an audio-visual piece for six Japanese gongs written by Bertoncini.",,,4h,PUT ONLINE WITH THE DOCUMENT FROM BORIO TO HELP WITH LECTURE,,,,
Distinguished Lecture,http://youtu.be/yqrsL6fntkQ,Richardson (5),22-11-2012,Imitating Stradivarius,"violin, Guarneri, tone replication, electronic violin","There is a substantial difference in tone quality between a novice playing the piano and playing the violin; while you can hear the quality of the piano regardless, you will not hear the capabilities of a violin unless it is played with skill. This is but one of the reasons why the sounds the violin produces are fascinating to study. Weinreich has explored borrowing sound from a standard violin and imitating it on an electronic violin. He shares his research on violin sound waves and his technique of gathering sound samples from violins, such as the Guarneri Del Gesu ""Vieuxtemps"", and replicating their characteristics.","Instruments, Devices and Systems",Modeling,,,Gabriel Weinreich,"Universtiy of Michigan, USA",104,3:29-5:25 What distinguishes a musical instrument,54:14-54:50 Goal with producing tone color,,,, 1:20,,,,,
Distinguished Lecture,http://youtu.be/DPsPKQ1YSO0,Generale (3),06-12-2012,Putting Together The Puzzle of Multisensory Perception,"Perception, multisensory perception, haptic feedback","The world is full of sensory information - sight, sound, touch, taste, and smell - that our brain must make sense of in order to interact with the world. But what does this process look like and what happens when we are fed noisy, conflicting information? In this talk, Marc Ernst discusses the brain's integration of information from multiple senses, what affects our learning rate when faced with new or conflicting information, and how we calibrate our sensory systems in natural environments. This talk investigates these topics by looking at experiments in laboratory environments, and closes by applying these findings to a real-world situation that asks: Do people really walk in circles when lost in the desert?","Cognition, Perception and Movement",Perception,,,Marc Ernst,"Bielefeld University, Germany",115,"(~8:46 - 12:06, a little more than 3 min, could also end around 10:40, because it gets pretty technical after that) What Would Be the Optimal Way to Integrate Information? --> A look into some data that explains how the brain tends to weigh multiple sources of information from different senses, and what it does when one of the information sources is ""noisy"".","(~20:15 - 23:09) Prior Knowledge Affects Perception --> A look, using some visual illusions, at how we combine sensory information with the knowledge we have of the world to make our best estimate of what's out there.","(~33:24 - 36:07) What Determines Our Learning Rate? -->  Examines why and what influences the brain to learn new mappings quickly, and why it may learn new mappings slowly.","Not really a ""highlight"", but the anecdote of ""do people really walk around in circles when lost in the desert?"" starts at around ~41:45 and goes pretty much till the end of the lecture. It is quite long (because they did three experiments with it), but it's an interesting look at real-world applications of the concepts Ernst discusses in a way that's easier for people with little to no perception background to follow, and is also fairly humourous.",,2h30,,,,,
Distinguished Lecture,http://www.youtube.com/watch?v=PFzy_5RVqF4,West (10),17-01-2013,Topology of musical data,"topology of data, music theory, musical similarity, music information retreival","If every piece of music is considered to be a point in the Euclidean space of all possible pieces, what generalizations could be made about this vast cloud of points? William Sethares's talk on the topology of music considers the geometric features of musical space. Building up from notions of musical similarity or closeness based on western tonal music theory, Sethares leverages the mathematical toolbox of the topological data analysis to expose structures underlying this music.",Music Information Research,Music Information Retrieval,,,William Sethares,"University of Wisconsin, USA",76,"0:42 - 1:38 (56s), Sethares introduces the concept of topological space and describes some of the features which are of interest to a topologist","22:46 - 23:20 (34s), Sethares succinctly describes the methodology he uses to examine the toppological features of a piece of music.",,,,1hr00,,,,,
Distinguished Lecture,http://youtu.be/41cv5uPBWzg,Generale (4),21-02-2013,"Music, Memories, and the Brain","Cognitive pyschology, cognitive neuroscience,  perception","Nostalgia: one of the strongest emotions, tied with memory, that humans experience as we listen to music. In this lecture, Petr Janata examines the movement of music through tonal space using various behavioural and neuro-imaging techniques combined with computational approaches. These methods are used to try to understand how we process tonality, and how it links to a strong experience of music-evoked autobiographical memories. While there are multiple brain areas that interact when memories are experienced with music-listening, the challenge lies in examining how these interactions combine to structure our experience. The first half of this talk focuses more on concepts found in cognitive science/psychology, while the latter half holds more universal concepts.","Cognition, Perception and Movement",Psychology,,,Petr Janata,"UC Davis, USA",114,"(~9:43 - 12:50) A Look at the Torus --> A  quick look, and audience example, of tonality and how a torus (which is repeatedly referred to in this talk) is modelled. (Note: he has some playback issues with the audio example in the first few seconds of this highlight)",(~34:44 - 37:54) Music's Movements in Tonal Space as Represented in the Brain --> Showcases some neuroimaging techniques to examine the pattern of music movement through tonal space in the brain and how it's used as a statistical model for analyzing brain activity that's illicited when people listen to music.,"(~41:30 - 45:32) Music-Evoked Autobiographical Memory -->  A humorous look on a study Prof. Janata did for examining people's different associations with music (Note: the times I put are over 3min. It can end at 44:27, but it's worth it to go to 45:32 for the humour, and is also one of the most easily understandable highlights for those that don't have a cognitive science or psychology background)","(~49:25 - 52:50) Tonality Tracking Responses in the Brain --> A quick rundown of the areas of the brain that are involved in tonality tracking and how it relates to memory-evoking music (iNote: it can end around 52:20,. The time I put is over 3 min, but 52:50 is when he finishes fully explaining this concept)",,3h30,,,,,
Distinguished Lecture,http://youtu.be/Og_V4PkrMEQ,Martins (6),21-03-2013,Violin bows and bowing - action and gestures,"Bow gestures, bowing, bow velocity, bow force, bow-bridge distance, Helmholtz motion","Bowing gestures are highly complex movement patterns that control the sound of a note while preparing for other musical changes. Together, they can affect tone quality, dynamic level, timbre, attack techniques, and other elements of playing. In this comprehensive lecture, theories and common beliefs among musicians are scrutinized. Using live and recorded demonstrations, Dr. Askenfelt explains how the stick-slip phenomenon, the Helmholtz circulating corner, the Schelleng’s triangle, and the Guettler’s triangle relate to bowing and to the coordination of bow velocity, bow-bridge distance, and bow force. The evolution of bowing studies is also discussed, including the innovative approach developed by Askenfelt to measure bowing parameters.","Cognition, Perception and Movement",Gesture,,,Anders Askenfelt,"Royal Institute of Technology (KTH), Sweden",105,"8:38-9:27
Simulation of Helmholtz's motion, a.k.a. the stick-slip phenomenon","16:57-18:21
How does bow hold relate to bow force?","19:25-20:25
Understand how the Schelleng's triangle affects violin playing.","31:32-32:37
Askenfelt's technique to monitor bow-bridge distance, bow velocity, and bow force using a resistance wire.",,3h40,,,,,
Distinguished Lecture,http://youtu.be/LBvmkXzQk48,Richardson (6),18-04-2013,Distributed Creativity in Musical Performance,"creativity, performance, classical music","The belief that all musical performances are creative and are once-in-a-lifetime experiences is a truism. What exactly substantiates creativity? How is creativity encapsulated in a classical music performance? Is it what musicians bring to or add to the musical score? What if a score does not exist? Eric Clarke suggests that we can understand creativity in performance as an interweaving of the possibilities of a score or the cultural model, the tacit performance practices of culture, the perception-action capacities of a performer, the affordances of an instrument, the influence of recordings and other performances, and the affordances of the musical material.",Expanded Musical Practice,Performance,,,Eric Clarke,"Univesity of Oxford, UK",101,1:10-1:34 Presents content of talk,4:46-6:25 Why so much focus on creativity in classical music?,"24:20-25:25 How to understand creativity: possibilities of score/cultural model, tacit performance practices of culter, perception-action capacites of a performer, affordances of an instrument, influence of recordings and other perfmances, and affordances of musical matieral. ",49:35-50:16 The junction where creativity takes places,,1:15,,,,,
Student Symposium KEYNOTE,http://youtu.be/RAdZd4NOGfg,West (3),23-05-2013,A (not so) Brief History of Laptop Orchestras and Ensembles,"laptop orchestra, PLOrk, digital musical instruments, live electronic music","From early experiments with his students building a variety of digital musical instruments, to an international laptop orchestra movement, Perry Cook gives a history of laptop orchestras. Exploiting the viruosity of existing musicians, and extending musical performance through computer mediation, Cook offers a wide overview of his approach to the design of digital musical instruments, and describes the formation of PLOrk and its cousins.","Instruments, Devices and Systems",Performance,,,Perry Cook,"Princeton University, USA",64,"7:35-7:50 (15s), Cook talks about his approach exploiting the viruosity of existing musicians, and extending musical performance through computer mediation","12:27-12:50 (23s), Cook plays a coffee mug.","38:53- about 40:22 (1m29s), Cook demonstrates live coding in Chuck, explaining some of its core philosophy",,,2hr00,"Audio from 12:27-12:50 (23s), Cook plays a coffee mug.","13:14-13:30, musical excerpt after Phillip Glass","38:53- about 40:22 (1m29s), Cook demonstrates live coding in Chuck, explaining some of its core philosophy",,
Student Symposium KEYNOTE,http://youtu.be/7GepqzENM-I,West (4),23-05-2013,"Interactivity, shminteractivity: In search of the expressive computer","interactive music, expressivity, musical gesture, computer music","Christopher Dobrian comments on his experiences developing interactive computer music. Whereas human musicians are charismatic, creative, expressive, and lively, in order for a computer to musically interact on stage, these traits must be simulated algorithmically. Dobrian shares his frustration with this charisma gap, and some of the approaches he has taken to try to close it. How can computers be made musically expressive? When is it more appropriate to fake it? What is it that makes a musical gesture meaningful in the first place? Dobrian considers these questions and more in this exciting keynote.","Instruments, Devices and Systems",Interaction,,,Christopher Dobrian,"University of California Irvine, USA",94,"24:50 - 25:22 (32s), Dobrian talks about the gap in charsma comparing humans and computers onstage.",32:27 - 33:15 (48s) Dobrian offers a definition of human-computer musical interaction compared to mere reaction.,"35:05 - 35:57 (52s) Dobrian suggests that fake interaction may be as good or better than computationally simulated interaction, and encourages composers to consider why they might use a particular piece of technology",,,2hr00,"excerpt from Entropy, 13:11 - 15:20 (2m09s), the ending is particularly nice","excerpt from There's Just One Thing You Need to Know, 22:38 - 24:38 (2m)",,,
Distinguished Lecture,http://youtu.be/UJBq44pnUoo,Aspinwall (4),12-09-2013,Music understanding and the future of music performance,"Human-computer interaction, computer music, music technology","Roger Dannenberg gives us an overview of human-computer interaction for music performance, and how innovation in this field could contribute to artistic expression and commercial products. Using examples of his and his colleagues’ research, he highlights the capabilities of actual computer systems for accompaniment, style classification, score alignment, onset detection and sound synthesis. Professor Dannenberg presents various research challenges in the field and finally, he talks about how building intelligent machines could re-shape the way we learn, perform and share music. Ultimately, enriching the musical experience for millions of people.",Expanded Musical Practice,Interaction,,,Roger Dannenberg,"Carnegie Mellon University, USA",91,[00:47 - 01:18] It introduces the talk and sets an optimistic tone to the narrative,"[38:35 - 39:50] This idea It ends on a cliffhanger, makes you want to listen to what he’s going to say next. ","[45:41 - 47:34] This video is a culmination of his research, years of work applied to a live musical performance.","[50:53 - 51:00] This idea wraps up the lecture, draws parallels between other art forms and computer music. It closes with an optimistic tone as the first one did.",,4:00,,,,,
Distinguished Lecture,http://youtu.be/iQuCpLuhBWk,Rong (2),17-10-2013,Acoustics and contemporary music,"Wind instruments, contemporary, mechanics","One of the most important elements of contemporary music is acoustics and novel ways of producing sound. Caussé discusses the ways in which 20th-century composers integrate the mechanics behind creating sonorities into writing music that is radically different from historical genres, including mutes for brass and clarinet, microintervals (intervals smaller than a semitone), multiphonics, and virtual instruments. Many different approaches, such as the addition of devices onto an instrument, physically changing the embouchure, and the development of new techniques are explored through new methods of measurement and research. As well, software such as Modalys is now employed to explore the hybridization of acoustic and digital music making.","Instruments, Devices and Systems",Acoustics,,,René Caussé,"IRCAM, France",107,"6:50 - 9:00 The microintervallic system was used by composers suchas Ligeti by employing a physical device in order to expand the capabilities of the instrument. These devices also gave way to possibilities for ""split personalities"" where an instrument was able to produce different types of sound through different methods.",30:05 - 32:30 Radiation imaging was used for measurement of frequency in a saxophone - a very meticulous and detailed process that resulted in a unique model of saxophone mechanics.,36:30 - 37:40 Computers have been able to reproduce and synthesize sound based on physical principles that have been programmed into them - have computers become comparable to the physical act of music making?,46:49 - 48:18 The quality of both wind and percussion instrument tone can be mathematically plotted in order to analyze aspects like sound decay and different partials of the instrument.,,2hr 30,,,,,
Distinguished Lecture,https://www.youtube.com/watch?v=i_juIZq46gI,Aspinwall (3),14-11-2013,Semantic audio: Combining semantic web technology with audio analysis,"semantic audio, metadata, music analysis, music technology","Mark Sandler takes us through a ten-year journey of research in the field of semantic audio. Using various project examples, he presents how this research is connecting pieces of data, information, and knowledge that surrounds the world of music. With the goal of not only extracting meaning from audio, but to be able to use it to create musical tools and experiences. Professor Sandler talks about the evolution of the field starting from expert generated metadata in applications like Pandora, the current state of content-based metadata and a look into the second generation of digital music applications that use standardized semantic metadata.",Music Information Research,Music Information Retrieval,,,Mark Sandler,"Queen Mary University London, UK",104,"[58:05 - 01:00:32] These are the major challenges of the field, he goes into more detail during the lecture and is a good overview of the topics he talks about.
",[17:33 - 19:01] He shows his projections for the future of semantic audio,[01:04:21 - 01:06:11] This is the conclusion of the talk where he arrives at a new (personal) definition of what semantic audio should be. ,,,4:00,,,,,
